AT1G01010,261585_at
AT1G01030,261568_at
AT1G01040,261584_at
AT1G01050,261579_at
AT1G01060,261569_at
AT1G01070,261576_at
AT1G01080,261577_at
AT1G01090,261583_at
AT1G01100,261578_at
AT1G01110,261580_at
AT1G01120,261570_at
AT1G01130,261575_at
AT1G01140,261581_at
AT1G01150,261571_at
AT1G01160,261582_at
AT1G01170,261572_at
AT1G01180,261573_at
AT1G01190,261574_at
AT1G01200,261042_at
AT1G01220,261043_at
AT1G01225,261025_at
AT1G01230,261057_at
AT1G01240,261026_at
AT1G01250,261059_at
AT1G01260,261050_at
AT1G01280,261051_at
AT1G01290,261044_at
AT1G01300,261055_at
AT1G01310,261045_at
AT1G01320,261054_at
AT1G01320,261053_at
AT1G01340,261027_at
AT1G01350;AT5G06420,250736_s_at
AT1G01360,261056_at
AT1G01370,261058_at
AT1G01380,257490_x_at
AT1G01390,261046_at
AT1G01410,261047_at
AT1G01420,261048_at
AT1G01430,261049_at
AT1G01440,261052_at
AT1G01450,259435_at
AT1G01460,259425_at
AT1G01470,259426_at
AT1G01480,259439_at
AT1G01490,259434_at
AT1G01500,259436_at
AT1G01510,259438_at
AT1G01520,259432_at
AT1G01530,259427_at
AT1G01540,259437_at
AT1G01550,259440_at
AT1G01560,259428_at
AT1G01570,259433_at
AT1G01600,259429_at
AT1G01610,259430_at
AT1G01620,259431_at
AT1G01630,261563_at
AT1G01640,261586_at
AT1G01650,257484_at
AT1G01660,261587_at
AT1G01670,261588_at
AT1G01700,261590_at
AT1G01710,261560_at
AT1G01720,261564_at
AT1G01725,261535_at
AT1G01730,261561_at
AT1G01740,261591_at
AT1G01750,261562_at
AT1G01760,261592_at
AT1G01770,261558_at
AT1G01780,261559_at
AT1G01790,261536_at
AT1G01800,261537_at
AT1G01820,261534_at
AT1G01830,261538_at
AT1G01840,261539_at
AT1G01860,261652_at
AT1G01900,261653_at
AT1G01910,261627_at
AT1G01920,261654_at
AT1G01930,261625_at
AT1G01940,261655_at
AT1G01950,261656_at
AT1G01960,261621_at
AT1G01970,261622_at
AT1G01980,261623_at
AT1G01990,261626_at
AT1G02000,261624_at
AT1G02020,264169_at
AT1G02050,264175_at
AT1G02060,264167_at
AT1G02070,264151_at
AT1G02080,264168_at
AT1G02090,264150_at
AT1G02100,264171_at
AT1G02110,264176_at
AT1G02120,264172_at
AT1G02130,264122_at
AT1G02140,264152_at
AT1G02150,264177_at
AT1G02160,264173_at
AT1G02170,264178_at
AT1G02180,264179_at
AT1G02190,264180_at
AT1G02205,264147_at
AT1G02205,264146_at
AT1G02220,264148_at
AT1G02250,264149_at
AT1G02260,264170_at
AT1G02270,264123_at
AT1G02280,264121_at
AT1G02300,259441_at
AT1G02305,259416_at
AT1G02310,259442_at
AT1G02320,259413_at
AT1G02330,259415_at
AT1G02340,259417_at
AT1G02360,259443_at
AT1G02370,259444_at
AT1G02390,259418_at
AT1G02400,259445_at
AT1G02410,259446_at
AT1G02420,259414_at
AT1G02430;AT1G02440,259447_s_at
AT1G02450,260904_at
AT1G02460,260903_at
AT1G02470,260933_at
AT1G02475,260916_at
AT1G02490,260911_at
AT1G02500,260913_at
AT1G02530;AT1G02520,260932_s_at
AT1G02540,260906_at
AT1G02550,260931_at
AT1G02560,260912_at
AT1G02570,260907_at
AT1G02580,260908_at
AT1G02590;AT1G04580,264614_s_at
AT1G02620,260930_at
AT1G02640,260914_at
AT1G02660,260915_at
AT1G02670,260909_at
AT1G02680,260929_at
AT1G02690,260910_at
AT1G02700,260917_at
AT1G02710,260905_at
AT1G02720,260928_at
AT1G02730,262109_at
AT1G02740,262108_at
AT1G02750,262107_at
AT1G02780,262117_at
AT1G02790,262122_at
AT1G02800,262121_at
AT1G02810,262105_at
AT1G02813,262115_at
AT1G02816,262116_at
AT1G02820,262113_at
AT1G02830,262132_at
AT1G02840,262110_at
AT1G02850,262118_at
AT1G02860,262114_at
AT1G02870,262112_at
AT1G02890,262130_at
AT1G02900,262131_at
AT1G02910,262104_at
AT1G02930;AT1G02920,262119_s_at
AT1G02940,262103_at
AT1G02950,262120_at
AT1G02960,262111_at
AT1G02970,262106_at
AT1G02980,262102_at
AT1G03000,263170_at
AT1G03010,263169_at
AT1G03020,263168_at
AT1G03030,263167_at
AT1G03040,263117_at
AT1G03050,263166_at
AT1G03055,263115_at
AT1G03060,263165_at
AT1G03070,263164_at
AT1G03080,263112_at
AT1G03090,263118_at
AT1G03100,263143_at
AT1G03110,263119_at
AT1G03130,263114_at
AT1G03150,263113_at
AT1G03160,263163_at
AT1G03170,264363_at
AT1G03180,264358_at
AT1G03190,264356_at
AT1G03200;AT1G03240,264354_s_at
AT1G03210,264355_at
AT1G03220;AT1G03230,264365_s_at
AT1G03250,264366_at
AT1G03260,264353_at
AT1G03270,264352_at
AT1G03280,264368_at
AT1G03290,264362_at
AT1G03300,264361_at
AT1G03310,264360_at
AT1G03320,264359_at
AT1G03330,264364_at
AT1G03350,264367_at
AT1G03360,264357_at
AT1G03370,264351_at
AT1G03380,264828_at
AT1G03390,264827_at
AT1G03400,264843_at
AT1G03410,264826_at
AT1G03420,264824_at
AT1G03430,264838_at
AT1G03440,264840_at
AT1G03445,264823_at
AT1G03457,264822_at
AT1G03470,264821_at
AT1G03475,264820_at
AT1G03510,264819_at
AT1G03520,264844_at
AT1G03530,264818_at
AT1G03540,264817_at
AT1G03550,264835_at
AT1G03560,264816_at
AT1G03590,264833_at
AT1G03600,264837_at
AT1G03610,264836_at
AT1G03620,264815_at
AT1G03630,264839_at
AT1G03660,264832_at
AT1G03680,264845_at
AT1G03687,264831_at
AT1G03700,264842_at
AT1G03710,264830_at
AT1G03720,264825_at
AT1G03730,264834_at
AT1G03740,264841_at
AT1G03750,265088_at
AT1G03770,265086_at
AT1G03780,265085_at
AT1G03790,265084_at
AT1G03820,265083_at
AT1G03830,265082_at
AT1G03840,265081_at
AT1G03850,265067_at
AT1G03860,265037_at
AT1G03870,265066_at
AT1G03880,265095_at
AT1G03890,265094_at
AT1G03900,265043_at
AT1G03905,265093_at
AT1G03910,265092_at
AT1G03920,265038_at
AT1G03930;AT5G44100,265045_s_at
AT1G03940;AT1G03495,265091_s_at
AT1G03950,265044_at
AT1G03960,265090_at
AT1G03970,265040_at
AT1G03980,265065_at
AT1G03990,265099_at
AT1G04000,265039_at
AT1G04010,265098_at
AT1G04020,265097_at
AT1G04030,265096_at
AT1G04040,265042_at
AT1G04050,257404_at
AT1G04050,265089_at
AT1G04070,265041_at
AT1G04080,265036_at
AT1G04090,264320_at
AT1G04100,264328_at
AT1G04110,264319_at
AT1G04120,264330_at
AT1G04130,264331_at
AT1G04140,264329_at
AT1G04150,264325_at
AT1G04160,264324_at
AT1G04170,264327_at
AT1G04180,264323_at
AT1G04190,264322_at
AT1G04200,264321_at
AT1G04220,264318_at
AT1G04230,264326_at
AT1G04240,263656_at
AT1G04250,263664_at
AT1G04260,263660_at
AT1G04270,263667_at
AT1G04290,263661_at
AT1G04300,263654_at
AT1G04310,263653_at
AT1G04330,263652_at
AT1G04340,263651_at
AT1G04350,263668_at
AT1G04360,263650_at
AT1G04380,263649_at
AT1G04390,263648_at
AT1G04400,263669_at
AT1G04410,263663_at
AT1G04420,263678_at
AT1G04430,263662_at
AT1G04440,263657_at
AT1G04480,263665_at
AT1G04490,263658_at
AT1G04500,263655_at
AT1G04510,263666_at
AT1G04520,263677_at
AT1G04530,264609_at
AT1G04540,264601_at
AT1G04550,264605_at
AT1G04560,264612_at
AT1G04590,264615_at
AT1G04600,264599_at
AT1G04610,264598_at
AT1G04620,264597_at
AT1G04625,264596_at
AT1G04640,264613_at
AT1G04645,264610_at
AT1G04650,264604_at
AT1G04660,264606_at
AT1G04670,264603_at
AT1G04680,264611_at
AT1G04690,264607_at
AT1G04700,264602_at
AT1G04710,264608_at
AT1G04730,264600_at
AT1G04750,264595_at
AT1G04760,261178_at
AT1G04770,261177_at
AT1G04780,261176_at
AT1G04790,261127_at
AT1G04800,261175_at
AT1G04810,261174_at
AT1G04820,261129_at
AT1G04830,261173_at
AT1G04840,261172_at
AT1G04850,261153_at
AT1G04860,261128_at
AT1G04870,261130_at
AT1G04880,261171_at
AT1G04900,261124_at
AT1G04910,261170_at
AT1G04920,261169_at
AT1G04930,261152_at
AT1G04945,261168_at
AT1G04950,261126_at
AT1G04960,261155_at
AT1G04970,261154_at
AT1G04980,261167_at
AT1G04985,261179_at
AT1G04990,261125_at
AT1G05000,265214_at
AT1G05010,265194_at
AT1G05020,265213_at
AT1G05030,265212_at
AT1G05040,265215_at
AT1G05055,265218_at
AT1G05060,265192_at
AT1G05070,265193_at
AT1G05100,265216_at
AT1G05120,265191_at
AT1G05140,264584_at
AT1G05150,264568_at
AT1G05160,264586_at
AT1G05170,264583_at
AT1G05180,264585_at
AT1G05190,264575_at
AT1G05200,264587_at
AT1G05205,264579_at
AT1G05210,264581_at
AT1G05230,264582_at
AT1G05250;AT1G05240,264567_s_at
AT1G05260,264577_at
AT1G05270,264566_at
AT1G05280,264565_at
AT1G05290,264564_at
AT1G05300,264574_at
AT1G05310,264573_at
AT1G05330,264571_at
AT1G05340,264580_at
AT1G05350,264570_at
AT1G05360,264576_at
AT1G05370,264578_at
AT1G05380,261383_at
AT1G05385,261388_at
AT1G05400,261380_at
AT1G05410,261387_at
AT1G05430,261386_at
AT1G05440,261384_at
AT1G05450,261385_at
AT1G05460,261381_at
AT1G05470,261382_at
AT1G05490,263203_at
AT1G05490,263204_at
AT1G05500,263205_at
AT1G05510,263175_at
AT1G05520,263185_at
AT1G05530,263176_at
AT1G05540,263177_at
AT1G05550,263178_at
AT1G05560,263184_at
AT1G05570,263183_at
AT1G05575,263182_at
AT1G05577,263233_at
AT1G05590,263199_at
AT1G05600,263200_at
AT1G05610,263201_at
AT1G05620,263180_at
AT1G05630,263202_at
AT1G05660;AT1G05650,263229_s_at
AT1G05670,263230_at
AT1G05680,263231_at
AT1G05690,257451_at
AT1G05700,263232_at
AT1G05710,263179_at
AT1G05720,263181_at
AT1G05740,257452_at
AT1G05750,261310_at
AT1G05760,261256_at
AT1G05770,261311_at
AT1G05790,261312_at
AT1G05800,261278_at
AT1G05805,261254_at
AT1G05810,261252_at
AT1G05840,261253_at
AT1G05850,261279_at
AT1G05860,261280_at
AT1G05880,261249_at
AT1G05890,261250_at
AT1G05900,261255_at
AT1G05910,261257_at
AT1G05920,261251_at
AT1G05940,260927_at
AT1G05950,260945_at
AT1G05960,260961_at
AT1G05990,260960_at
