root_hair	non-hair_epidermis	QC	Stele	xylem_pole_pericycle	lateral_root_cap	Lateral_root	phloem_pole_pericycle	protophloem	developing_xylem	endodermis	companion_cells	Stele
AT3G26770	0	1	1	1	1	1	1	1	1	0	1	1	1
AT1G78120	0	0	0	1	1	0	1	1	1	1	0	1	1
AT3G59680	0	0	1	1	1	0	1	1	1	1	0	1	1
AT1G35250	1	1	0	0	0	0	1	1	1	0	1	1	1
AT5G60870	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G01120	1	1	1	0	1	1	1	1	0	0	1	1	1
AT3G01630	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G07590	1	1	1	1	1	1	1	1	1	1	0	1	1
AT1G49490	0	0	0	0	0	0	0	0	0	0	1	0	1
AT5G12330	0	0	1	1	1	0	1	1	1	0	1	1	1
AT5G47750	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G56230	1	1	1	1	0	1	0	1	1	1	1	1	1
AT5G52390	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G08720	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G04880	0	0	0	0	0	0	1	0	0	0	0	0	0
AT5G56740	0	1	1	1	1	1	1	1	1	1	1	1	1
AT1G67220	0	0	0	1	0	0	0	0	0	0	0	0	0
AT5G55520	0	0	1	1	0	1	1	0	0	1	0	0	1
AT4G09146;AT1G56675	0	0	0	1	1	1	0	0	1	0	0	0	1
AT1G19710	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G15360	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G26570	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G40980	0	0	1	1	1	0	1	1	1	0	1	1	1
AT3G63380	1	0	0	0	1	1	0	1	0	0	1	0	1
AT3G15870	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G62160	0	1	1	1	0	1	0	1	1	1	1	1	1
AT1G04140	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G14650	0	0	0	0	1	0	1	1	0	0	0	1	0
AT2G41950	0	1	1	1	1	1	1	0	1	1	1	1	1
AT5G62670	0	1	1	1	1	1	1	1	1	1	1	1	1
AT3G03430	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G73150	0	1	0	0	0	1	0	0	0	0	0	0	0
AT1G18380	1	1	0	0	0	1	0	0	0	0	1	0	1
AT1G47330	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G11200	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G10070	0	0	0	1	1	0	1	1	0	0	0	0	0
AT5G11710	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G28890	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G17160	1	1	1	0	1	1	1	1	1	1	1	1	1
