Array Element	Locus Identifier	Annotation
A_84_P765758	AT4G12334	pseudogene of cytochrome P450 family protein
A_84_P822458	AT1G70810	C2 domain-containing protein
A_84_P788140	AT3G24150	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G32295.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO65691.1)
A_84_P23230	AT4G01760	DC1 domain-containing protein
A_84_P199214	AT1G22630	heat shock protein binding / unfolded protein binding
A_84_P21327	AT1G69660	meprin and TRAF homology domain-containing protein / MATH domain-containing protein
A_84_P292744	AT5G42570	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G11905.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO24012.1); contains InterPro domain B-cell receptor-associated 31-like; (InterPro:IPR008417)
A_84_P847441	AT2G13360	AGT (ALANINE:GLYOXYLATE AMINOTRANSFERASE)
A_84_P50620	AT3G19720	ARC5 (ACCUMULATION AND REPLICATION OF CHLOROPLAST 5); GTP binding / GTPase
A_84_P755118	AT2G29010	"pseudogene, receptor protein kinase, contains a protein kinase domain (PS50011); contains a S-locus glycoprotein family domain (PF00954); contains LRR  Leucine Rich Repeat domains; blastp match of 42% identity and 3.1e-185 P-value to GP|9837280|gb|AAG00510.1||AF285172 leaf senescence-associated receptor-like protein kinase {Phaseolus vulgaris}"
A_84_P848634	AT1G78150	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G35780.1); similar to unknown [Populus trichocarpa] (GB:ABK92695.1)
A_84_P10721	AT1G07280	binding
A_84_P603821	AT5G39690	ANAC093 (Arabidopsis NAC domain containing protein 93); transcription factor
A_84_P127121	AT5G44650	similar to unnamed protein product [Vitis vinifera] (GB:CAO44475.1)
A_84_P824511	AT5G02800	protein kinase family protein
A_84_P19233	AT2G29980	FAD3 (FATTY ACID DESATURASE 3); omega-3 fatty acid desaturase
A_84_P836744	AT5G65290	LMBR1 integral membrane family protein
A_84_P803062	AT3G30775	ERD5 (EARLY RESPONSIVE TO DEHYDRATION 5); proline dehydrogenase
A_84_P22142	AT3G17730	ANAC057 (Arabidopsis NAC domain containing protein 57); transcription factor
A_84_P812885	AT5G02790	"In2-1 protein, putative"
A_84_P611470	AT3G14480	glycine/proline-rich protein
A_84_P302780	AT2G35280	F-box family protein
A_84_P857389	AT5G19400	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G28260.2); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G28260.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO63049.1); contains domain PTHR15696 (PTHR15696)
A_84_P20786	AT1G71692	AGL12 (AGAMOUS-LIKE 12); transcription factor
A_84_P12227	AT5G67030	ABA1 (ABA DEFICIENT 1); zeaxanthin epoxidase
A_84_P512722	AT2G25690	senescence-associated protein-related
A_84_P273780	AT1G49470	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G55230.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN63047.1); contains InterPro domain Protein of unknown function DUF716 (InterPro:IPR006904)
A_84_P22616	AT5G63810	BGAL10 (beta-galactosidase 10); beta-galactosidase
A_84_P845188	AT4G38120	binding
A_84_P13904	AT4G14370	"disease resistance protein (TIR-NBS-LRR class), putative"
A_84_P755590	AT2G16550	"amidophosphoribosyltransferase fragment, pseudogene,  blastp match of 81% identity and 1.1e-11 P-value to GP|3243256|gb|AAC24007.1||AF071862 phosphoribosylpyrophosphate amidotransferase {Vigna unguiculata}"
A_84_P759644	AT3G48860	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G23700.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO68373.1)
A_84_P16359	AT2G40770	SNF2 domain-containing protein / helicase domain-containing protein / zinc finger (C3HC4 type RING finger) family protein
A_84_P65694	AT5G26751	ATSK11 (Arabidopsis thaliana SHAGGY-related kinase 11); protein kinase
A_84_P825981	AT1G71692	AGL12 (AGAMOUS-LIKE 12); transcription factor
A_84_P769411	AT5G28469	pseudogene of disease-resistance protein
A_84_P10051	AT4G23300	protein kinase family protein
A_84_P586737	AT4G19580	DNAJ heat shock N-terminal domain-containing protein
A_84_P858169	AT3G51310	vacuolar protein sorting-associated protein 35 family protein / VPS35 family protein
A_84_P20306	AT3G45670	protein kinase-related
A_84_P759893	AT3G30722	transposable element gene
A_84_P752757	AT1G35537	Encodes a defensin-like (DEFL) family protein.
A_84_P23729	AT1G27620	transferase family protein
A_84_P522552	AT2G41445	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G41440.1)
A_84_P10017	AT1G06270	pentatricopeptide (PPR) repeat-containing protein
A_84_P759364	AT3G43158	transposable element gene
A_84_P140529	AT3G15354	SPA3 (SPA1-RELATED 3); signal transducer
A_84_P791555	AT3G25090	F-box family protein-related
A_84_P10741	AT3G01270	pectate lyase family protein
A_84_P273720	AT5G60610	F-box family protein
A_84_P825563	AT4G33140	similar to unnamed protein product [Vitis vinifera] (GB:CAO65164.1); contains domain SSF56784 (SSF56784); contains domain PD105831 (PD105831)
A_84_P146019	AT5G34945	"pseudogene, hypothetical protein, similar to F12A21.9"
A_84_P17618	AT4G24160	"hydrolase, alpha/beta fold family protein"
A_84_P759455	AT3G33136	transposable element gene
A_84_P845106	AT1G65080	OXA1 family protein
A_84_P111652	AT2G20390	similar to unknown [Populus trichocarpa] (GB:ABK95484.1)
A_84_P755661	AT2G19030;AT2G19040	"[AT2G19030, RALFL11 (RALF-LIKE 11)];[AT2G19040, RALFL12 (RALF-LIKE 12)]"
A_84_P799685	AT1G05340	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G32210.1)
A_84_P21823	AT1G11710	pentatricopeptide (PPR) repeat-containing protein
A_84_P10161	AT5G07260	homeobox protein-related
A_84_P750906	AT1G57660;AT1G57860	"[AT1G57660, 60S ribosomal protein L21 (RPL21E)];[AT1G57860, 60S ribosomal protein L21]"
A_84_P262910	AT4G30010	similar to unknown [Populus trichocarpa x Populus deltoides] (GB:ABK96249.1)
A_84_P20458	AT1G32450	proton-dependent oligopeptide transport (POT) family protein
A_84_P819570	AT5G67580	ATTRB2/TRB2 (TELOMERE REPEAT BINDING FACTOR 2); DNA binding / transcription factor
A_84_P830874	AT3G05900;AT3G05905	"[AT3G05900, neurofilament protein-related];[AT3G05905, other RNA]"
A_84_P556661	AT5G43230	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G01810.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO46641.1); contains InterPro domain C2 calcium/lipid-binding region, CaLB (InterPro:IPR008973)"
A_84_P820489	AT5G58990	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G52370.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO21535.1)
A_84_P769727	ATCG00500	"Encodes the carboxytransferase beta subunit of the Acetyl-CoA carboxylase (ACCase) complex in plastids. This complex catalyzes the carboxylation of acetyl-CoA to produce malonyl-CoA, the first committed step in fatty acid synthesis."
A_84_P609548	AT2G25200	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G11000.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO44287.1); contains InterPro domain Protein of unknown function DUF868, plant (InterPro:IPR008586)"
A_84_P12716	AT1G59670	ATGSTU15 (Arabidopsis thaliana Glutathione S-transferase (class tau) 15); glutathione transferase
A_84_P14943	AT1G55930	CBS domain-containing protein / transporter associated domain-containing protein
A_84_P803796	AT1G76520	auxin efflux carrier family protein
A_84_P19997	AT1G74670	"gibberellin-responsive protein, putative"
A_84_P759118	AT3G30216	transposable element gene
A_84_P519106	AT3G26750	similar to unnamed protein product [Vitis vinifera] (GB:CAO48317.1)
A_84_P20489	AT4G31300	PBA1 (20S proteasome beta subunit A 1); peptidase
A_84_P21756	AT1G51360	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G31670.1); similar to unknown [Populus trichocarpa] (GB:ABK93857.1); contains InterPro domain Dimeric alpha-beta barrel (InterPro:IPR011008); contains InterPro domain Stress responsive alpha-beta barrel (InterPro:IPR013097)
