Array Element,Annotation
253866_at,glycosyltransferase family 14 protein / core-2/I-branching enzyme family protein
249566_at,CYP735A1 (cytochrome P450_ family 735_ subfamily A_ polypeptide 1); oxygen binding
247268_at,protease inhibitor/ Seed storage/lipid transfer protein (LTP) family protein
258445_at,LOX5; lipoxygenase
259137_at,calcium-binding EF hand family protein
247049_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G34560.1); similar to hypothetical protein [Thellungiella halophila] (GB:ABB45849.1)
248449_at,similar to dehydratase family [Arabidopsis thaliana] (TAIR:AT1G29810.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO62291.1); contains InterPro domain Transcriptional coactivator/pterin dehydratase (InterPro:IPR001533)
249446_at,leucine-rich repeat family protein / protein kinase family protein
263829_at,transcription regulator
258127_at,peroxisomal membrane 22 kDa family protein
265163_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G23600.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO66084.1); contains InterPro domain Protein of unknown function DUF220 (InterPro:IPR003863)
254498_at,EMB1025 (EMBRYO DEFECTIVE 1025)
252406_at,pectinesterase inhibitor
246461_at,AAA-type ATPase family protein
249463_s_at,[AT5G39690_ ANAC093 (Arabidopsis NAC domain containing protein 93); transcription factor];[AT3G56530_ ANAC064 (Arabidopsis NAC domain containing protein 64); transcription factor]
266037_at,protein kinase_ putative
260864_at,transposable element gene
250515_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G64400.1); similar to unknown [Populus trichocarpa] (GB:ABK94558.1); contains InterPro domain CHCH (InterPro:IPR010625)
264068_at,BLH8 (BEL1-LIKE HOMEODOMAIN 8); DNA binding / transcription factor
263466_at,methyltransferase
257658_at,RNA binding
263722_at,GONST1 (GOLGI NUCLEOTIDE SUGAR TRANSPORTER 1); nucleotide-sugar transmembrane transporter
264965_at,SWIM zinc finger family protein
249510_at,rhomboid family protein
245595_at,pentatricopeptide (PPR) repeat-containing protein
257333_at,cytochrome c oxidase subunit 1
255777_at,GR-RBP6 (glycine-rich RNA-binding protein 6); RNA binding
245286_at,OASA1 (O-ACETYLSERINE (THIOL) LYASE (OAS-TL) ISOFORM A1)
261839_at,similar to unknown [Populus trichocarpa] (GB:ABK92967.1); contains InterPro domain Glycosylphosphatidylinositol anchor biosynthesis; (InterPro:IPR009580)
263468_at,similar to hypothetical protein MtrDRAFT_AC155880g21v2 [Medicago truncatula] (GB:ABN08121.1)
262198_at,ATPME2 (Arabidopsis thaliana pectin methylesterase 2)
258887_at,PLDP2 (PHOSPHOLIPASE D ZETA 2); phospholipase D
266688_at,DC1 domain-containing protein
262144_at,pentatricopeptide (PPR) repeat-containing protein
258543_at,proline-rich family protein
256829_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G43830.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN71784.1); contains domain PTHR11772 (PTHR11772); contains domain G3DSA:3.60.20.10 (G3DSA:3.60.20.10); contains domain SSF56235 (SSF56235)
254504_at,RNA recognition motif (RRM)-containing protein
262222_at,NUZ
257762_at,XRCC4 (Arabidopsis thaliana homolog of human DNA ligase IV-binding protein XRCC4)
265794_at,contains domain PTHR10177 (PTHR10177); contains domain PTHR10177:SF6 (PTHR10177:SF6)
264094_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO47897.1); contains domain PTHR18460 (PTHR18460)
266413_at,haloacid dehalogenase-like hydrolase family protein
251191_at,lipase class 3 family protein
247787_at,selenoprotein-related
252050_at,similar to ATOFP18/OFP18 (Arabidopsis thaliana ovate family protein 18) [Arabidopsis thaliana] (TAIR:AT3G52540.1)
250566_at,TCP17 (TCP domain protein 17); transcription factor
250352_at,adaptin family protein
245965_at,pectinesterase family protein
251477_at,similar to hypothetical protein [Vitis vinifera] (GB:CAN69676.1)
261809_at,rac GTPase activating protein_ putative
256413_at,transcription factor
253484_at,TAFII15 (SALT TOLERANCE DURING GERMINATION 1); transcription factor
265948_at,ACO1 (ACC OXIDASE 1); 1-aminocyclopropane-1-carboxylate oxidase
259757_at,ATPDIL1-2 (PDI-LIKE 1-2); protein disulfide isomerase
253478_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G79910.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO65537.1); contains InterPro domain Protein of unknown function DUF292_ eukaryotic (InterPro:IPR005061)
251965_at,pentatricopeptide (PPR) repeat-containing protein
247042_at,nitrogen regulation family protein
260072_at,oxidoreductase_ acting on the CH-CH group of donors
259023_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G01580.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN81121.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO16627.1)
259211_at,alpha 1_4-glycosyltransferase family protein / glycosyltransferase sugar-binding DXD motif-containing protein
253735_at,SNF7.1
255060_at,disease resistance protein (TIR-NBS-LRR class)_ putative
263208_at,ZFP5 (ZINC FINGER PROTEIN 5); nucleic acid binding / transcription factor/ zinc ion binding
257981_at,EIN3 (ETHYLENE-INSENSITIVE3); transcription factor
256462_at,unknown protein
265718_at,WRKY3 (WRKY DNA-binding protein 3); transcription factor
261550_at,catalytic
249414_at,MYB89 (myb domain protein 89); DNA binding / transcription factor
248311_at,BETA-OHASE 2 (BETA-CAROTENE HYDROXYLASE 2); beta-carotene hydroxylase
262631_at,similar to unknown [Populus trichocarpa x Populus deltoides] (GB:ABK96557.1)
250472_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G65030.1); similar to 80A08_18 [Brassica rapa subsp. pekinensis] (GB:AAZ67603.1); contains InterPro domain C2 calcium-dependent membrane targeting (InterPro:IPR000008)
266466_at,transducin family protein / WD-40 repeat family protein
258286_at,kinesin motor family protein
254630_at,(S)-2-hydroxy-acid oxidase_ peroxisomal_ putative / glycolate oxidase_ putative / short chain alpha-hydroxy acid oxidase_ putative
249181_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G45233.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO61353.1); similar to expressed protein-like protein [Glycine max] (GB:ABC47853.1); contains domain PTHR13375 (PTHR13375)
266996_at,CYP710A2 (cytochrome P450_ family 710_ subfamily A_ polypeptide 2); C-22 sterol desaturase/ oxygen binding
257516_at,ACR4 (ACT REPEAT 4); amino acid binding
254625_at,SNI1 (SUPPRESSOR OF NPR1-1_ INDUCIBLE 1)
261424_at,DNAJ heat shock N-terminal domain-containing protein
260438_at,ENDO 2 (ENDONUCLEASE 2); T/G mismatch-specific endonuclease/ endonuclease/ nucleic acid binding / single-stranded DNA specific endodeoxyribonuclease
255385_at,phosphonate metabolism protein-related
255183_at,similar to AtRPN1a/RPN1A (26S proteasome regulatory subunit S2 1A)_ binding [Arabidopsis thaliana] (TAIR:AT2G20580.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO69793.1); contains domain PTHR10943 (PTHR10943); contains domain PTHR10943:SF1 (PTHR10943:SF1)
253696_at,CKX4 (CYTOKININ OXIDASE 4); cytokinin dehydrogenase
257828_at,similar to permease-related [Arabidopsis thaliana] (TAIR:AT3G23870.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO49131.1); contains InterPro domain Protein of unknown function DUF803 (InterPro:IPR008521)
249475_at,exoribonuclease-related
249743_at,glycosyl hydrolase family 1 protein
266206_at,Identical to Uncharacterized mitochondrial protein At2g27730 [Arabidopsis Thaliana] (GB:Q9ZUX4;GB:Q8LBD1); similar to hypothetical protein [Vitis vinifera] (GB:CAN62125.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48731.1); contains domain PD199948 (PD199948)
245701_at,GLS1/GLU1/GLUS (FERREDOXIN-DEPENDENT GLUTAMATE SYNTHASE 1); glutamate synthase (ferredoxin)
266371_at,calmodulin_ putative
267599_at,protein kinase family protein
252961_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO47336.1)
254784_at,AtNUDT7 (ARABIDOPSIS THALIANA NUDIX HYDROLASE HOMOLOG 7); hydrolase/ nucleoside-diphosphatase
252620_at,transposable element gene
266576_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G30500.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO22157.1); contains InterPro domain Protein of unknown function DUF788 (InterPro:IPR008506)
248569_at,leucine-rich repeat transmembrane protein kinase_ putative
266290_at,ATGSTU1 (GLUTATHIONE S-TRANSFERASE 19); glutathione transferase
249649_at,ATCHX24 (cation/hydrogen exchanger 24); monovalent cation:proton antiporter
247066_at,Dof-type zinc finger domain-containing protein
262003_at,phosphatidylinositol 3- and 4-kinase family protein
266316_at,harpin-induced protein-related / HIN1-related / harpin-responsive protein-related
256615_at,UDP-glucoronosyl/UDP-glucosyl transferase family protein
251526_at,protein kinase family protein
266467_at,ALG3 family protein
250088_at,APG5/ATG5 (AUTOPHAGY 5); transporter
247938_at,ATPAP28/PAP28 (purple acid phosphatase 28); acid phosphatase/ protein serine/ Threonine phosphatase
265206_at,aspartyl protease family protein
247421_at,seven in absentia (SINA) family protein
246603_at,copper ion binding
255148_at,MAPKKK10 (Mitogen-activated protein kinase kinase kinase 10); kinase
261638_at,similar to hypothetical protein [Vitis vinifera] (GB:CAN66219.1)
264750_at,protein kinase family protein
257929_at,DNA-directed RNA polymerase II_ putative
247878_at,unknown protein
261396_at,plastocyanin-like domain-containing protein
263175_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G31985.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO45247.1); contains InterPro domain Protein of unknown function DUF1264 (InterPro:IPR010686)
264940_at,ATGOLS4 (ARABIDOPSIS THALIANA GALACTINOL SYNTHASE 4); transferase_ transferring glycosyl groups / transferase_ transferring hexosyl groups
245142_at,glycoprotease M22 family protein
246307_at,ATG2 (G2p-related protein); metalloexopeptidase
266013_s_at,[ATMG00440_ hypothetical protein];[AT2G07702_ Identical to Uncharacterized mitochondrial protein AtMg00440/AtMg01140  [Arabidopsis Thaliana] (GB:P93300;GB:P92545;GB:Q6DR78;GB:Q8L7I5;GB:Q8S8J3)];[ATMG01140_ hypothetical protein]
264580_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G32210.1)
254044_at,XTR9 (XYLOGLUCAN ENDOTRANSGLYCOSYLASE 9); hydrolase_ acting on glycosyl bonds
249297_at,unknown protein
265701_at,similar to kelch repeat-containing F-box family protein [Arabidopsis thaliana] (TAIR:AT5G51250.1); similar to 117M18_27 [Brassica rapa] (GB:AAZ66946.1); contains InterPro domain Kelch repeat type 1 (InterPro:IPR006652); contains InterPro domain Kelch-type beta propeller (InterPro:IPR015915); contains InterPro domain Kelch repeat type 2 (InterPro:IPR011498); contains InterPro domain Kelch related (InterPro:IPR013089); contains InterPro domain Galactose oxidase/kelch_ beta-propeller (InterPro:IPR011043)
246904_at,DNMT2 (DNA METHYLTRANSFERASE-2); DNA binding
260014_at,HPR (HYDROXYPYRUVATE REDUCTASE); glycerate dehydrogenase/ poly(U) binding
252534_at,MYB111 (myb domain protein 111); DNA binding / transcription factor
263107_at,CYP705A6 (cytochrome P450_ family 705_ subfamily A_ polypeptide 6); oxygen binding
250306_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G19380.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO16866.1); contains domain Multidrug resistance efflux transporter EmrE (SSF103481)
246611_at,MBD02 (methyl-CpG-binding domain 2); DNA binding
245973_at,transposable element gene
252541_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G45760.1); similar to hypothetical protein OsJ_027139 [Oryza sativa (japonica cultivar-group)] (GB:EAZ43656.1); similar to Os08g0559900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001062505.1); contains domain SSF81631 (SSF81631); contains domain PTHR12271:SF13 (PTHR12271:SF13); contains domain PTHR12271 (PTHR12271); contains domain SSF81301 (SSF81301)
245866_s_at,[AT1G57990_ ATPUP18 (Arabidopsis thaliana purine permease 18); purine transmembrane transporter];[AT1G57980_ purine permease-related]
254226_at,disease resistance-responsive family protein / dirigent family protein
257665_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO43775.1); contains domain PTHR13135 (PTHR13135)
248193_at,HGO (HOMOGENTISATE 1_2-DIOXYGENASE); homogentisate 1_2-dioxygenase
262179_at,AGL66; transcription factor
259180_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G01670.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14653.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14657.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14661.1); contains domain PTHR13871:SF2 (PTHR13871:SF2); contains domain PTHR13871 (PTHR13871)
245748_at,basic helix-loop-helix (bHLH) family protein
259335_s_at,[AT3G03930_ protein kinase-related];[AT3G03940_ protein kinase family protein]
257809_at,TSO2 (TSO MEANING 'UGLY' IN CHINESE); ribonucleoside-diphosphate reductase
246631_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G20510.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO38976.1); contains InterPro domain Protein of unknown function UPF0136_ Transmembrane; (InterPro:IPR005349)
254098_at,FSD1 (FE SUPEROXIDE DISMUTASE 1); iron superoxide dismutase
259844_at,protease inhibitor/ Seed storage/lipid transfer protein (LTP) family protein
246342_at,male sterility protein_ putative
260108_at,serpin-related / serine protease inhibitor-related
262344_at,ATRBOH F (RESPIRATORY BURST OXIDASE PROTEIN F); NAD(P)H oxidase
246183_at,glycosyl hydrolase family 3 protein
263620_at,no_match
255108_at,unknown protein
250720_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G22350.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48707.1); contains InterPro domain Protein of unknown function DUF1022 (InterPro:IPR009367)
250521_at,pentatricopeptide (PPR) repeat-containing protein
257122_at,APUM5 (ARABIDOPSIS PUMILIO 5); RNA binding
245466_at,glycogenin glucosyltransferase (glycogenin)-related
259566_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G76210.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN69930.1); contains InterPro domain Protein of unknown function DUF241_ plant (InterPro:IPR004320)
260859_at,SCPL44 (serine carboxypeptidase-like 44); serine carboxypeptidase
257525_at,heavy-metal-associated domain-containing protein
262509_at,pentatricopeptide (PPR) repeat-containing protein
256894_at,CYCP2;1 (cyclin p2;1); cyclin-dependent protein kinase
249615_x_at,AGL105; transcription factor
264159_at,similar to hypothetical protein [Vitis vinifera] (GB:CAN71035.1)
257568_s_at,[AT3G23950_ F-box family protein];[AT3G23970_ F-box family protein]
262694_at,protease inhibitor/ Seed storage/lipid transfer protein (LTP) family protein
266753_at,IAA20 (indoleacetic acid-induced protein 20); transcription factor
264905_at,ATMLO7/MLO7 (MILDEW RESISTANCE LOCUS O 7); calmodulin binding
252916_at,kinesin motor family protein
250874_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G03920.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23344.1); contains domain SSF81383 (SSF81383)
265678_at,RAD50; ATP binding / nuclease/ zinc ion binding
257784_at,MUB4 (MEMBRANE-ANCHORED UBIQUITIN-FOLD PROTEIN 4 PRECURSOR)
250951_at,similar to meprin and TRAF homology domain-containing protein / MATH domain-containing protein [Arabidopsis thaliana] (TAIR:AT2G42460.1)
256111_at,vacuolar ATP synthase catalytic subunit-related / V-ATPase-related / vacuolar proton pump-related
260280_at,ethylene-responsive element-binding family protein
266619_at,harpin-induced family protein / HIN1 family protein / harpin-responsive family protein
266233_at,ATPP2-B8 (Phloem protein 2-B8); carbohydrate binding
265469_at,transducin family protein / WD-40 repeat family protein
262215_at,catalytic
252503_at,ubiquitin protein ligase binding
257442_at,cupin family protein
261929_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G64600.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO61677.1); contains InterPro domain Protein of unknown function DUF246_ plant (InterPro:IPR004348)
248678_at,SAD1 (SUPERSENSITIVE TO ABA AND DROUGHT 1)
265176_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G23600.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO66084.1); contains InterPro domain Protein of unknown function DUF220 (InterPro:IPR003863)
262306_s_at,[AT5G56680_ SYNC1 (EMBRYO DEFECTIVE 2755); ATP binding / aminoacyl-tRNA ligase/ asparagine-tRNA ligase/ aspartate-tRNA ligase/ nucleic acid binding / nucleotide binding];[AT1G70980_ SYNC3; ATP binding / aminoacyl-tRNA ligase/ asparagine-tRNA ligase/ aspartate-tRNA ligase/ nucleic acid binding / nucleotide binding]
266552_at,AGP16 (ARABINOGALACTAN PROTEIN 16)
248736_at,terpene synthase/cyclase family protein
253976_at,protein kinase_ putative
260563_at,UDP-glucoronosyl/UDP-glucosyl transferase family protein
259520_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G62840.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO24498.1); contains InterPro domain Protein of unknown function DUF1442 (InterPro:IPR009902)
245519_at,transposable element gene
259343_s_at,[AT5G17920_ ATCIMS (COBALAMIN-INDEPENDENT METHIONINE SYNTHASE); 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase/ methionine synthase];[AT3G03780_ AtMS2 (Arabidopsis thaliana methionine synthase 2); 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase]
247947_at,EIR1 (ETHYLENE INSENSITIVE ROOT 1); auxin:hydrogen symporter/ transporter
256286_at,cornichon family protein
257183_at,ABC transporter family protein
260425_at,EDA25 (embryo sac development arrest 25); binding
261826_at,ATPMEPCRA; pectinesterase
248163_at,DFL1/GH3.6 (DWARF IN LIGHT 1); indole-3-acetic acid amido synthetase
262027_at,HOS10 (HIGH RESPONSE TO OSMOTIC STRESS 10); DNA binding
267587_at,DNAJ heat shock N-terminal domain-containing protein
247457_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G51850.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO17701.1)
265272_at,ARF10 (AUXIN RESPONSE FACTOR 10); miRNA binding / transcription factor
264867_at,ATFH4/FH4 (FORMIN HOMOLOGUE 4); actin binding / protein binding
265561_s_at,[AT2G05440_ glycine-rich protein];[AT2G05510_ glycine-rich protein]
251560_at,squamosa promoter-binding protein_ putative
246277_at,unknown protein
254080_at,FIB2 (FIBRILLARIN 2)
253115_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO23594.1); contains domain SSF52402 (SSF52402); contains domain PTHR20882:SF1 (PTHR20882:SF1); contains domain PTHR20882 (PTHR20882)
262940_at,cation efflux family protein
258685_at,polygalacturonase_ putative / pectinase_ putative
263097_at,PDV2 (PLASTID DIVISION2)
258274_at,cytochrome c oxidase family protein
246308_at,ATG4/CHLG/G4 (CHLOROPHYLL SYNTHASE); chlorophyll synthetase
247339_at,similar to hypothetical protein [Vitis vinifera] (GB:CAN67844.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO22434.1); contains InterPro domain Nucleic acid-binding_ OB-fold (InterPro:IPR012340); contains InterPro domain Nucleic acid-binding_ OB-fold-like (InterPro:IPR016027)
262095_at,tetratricopeptide repeat (TPR)-containing protein
251171_at,kelch repeat-containing F-box family protein
248595_at,HRB1 (HYPERSENSITIVE TO RED AND BLUE)
264771_at,TH1 (THIAMINE REQUIRING 1); catalytic/ phosphomethylpyrimidine kinase/ thiamin-phosphate diphosphorylase
264595_at,VAMP7B (VESICLE-ASSOCIATED MEMBRANE PROTEIN 7B)
263736_at,29 kDa ribonucleoprotein_ chloroplast_ putative / RNA-binding protein cp29_ putative
254663_at,KAT2 (K+ ATPase 2); cyclic nucleotide binding / inward rectifier potassium channel
248757_at,RNA binding / tRNA methyltransferase
251767_at,RNA splicing factor-related
250768_at,signal recognition particle binding
255281_at,ATGSL1 (GLUCAN SYNTHASE LIKE-1); 1_3-beta-glucan synthase/ transferase_ transferring glycosyl groups
252466_x_at,[AT3G47270_ transposable element gene];[AT1G32830_ transposable element gene]
251004_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G53490.1); similar to unknown [Picea sitchensis] (GB:ABK22243.1)
262609_at,similar to nodulin-related [Arabidopsis thaliana] (TAIR:AT2G03440.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN63832.1)
259018_at,AIR12 (Auxin-Induced in Root cultures 12); extracellular matrix structural constituent
259651_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO22049.1); contains InterPro domain Lipase/lipooxygenase_ PLAT/LH2 (InterPro:IPR008976)
252999_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G28240.1); similar to Os06g0724300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001058611.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO47423.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN61976.1); contains InterPro domain Protein of unknown function DUF616 (InterPro:IPR006852)
266016_at,zinc finger (C3HC4-type RING finger) family protein
261202_at,ATAN11 (ANTHOCYANIN11); nucleotide binding
255080_at,AGP10 (Arabinogalactan protein 10)
252940_at,leucine-rich repeat transmembrane protein kinase_ putative
245051_at,WRKY15 (WRKY DNA-binding protein 15); transcription factor
260685_at,phosphogluconate dehydrogenase (decarboxylating)
256458_at,integral membrane protein_ putative
264524_at,ATBCAT-2; branched-chain-amino-acid transaminase/ catalytic
267007_at,60S ribosomal protein L18A (RPL18aB)
247095_at,RAB18 (RESPONSIVE TO ABA 18)
253312_s_at,[AT4G33860_ glycosyl hydrolase family 10 protein];[AT4G33850_ glycosyl hydrolase family 10 protein]
260234_at,GDSL-motif lipase/hydrolase family protein
257908_at,bile acid:sodium symporter family protein
252900_at,shikimate kinase family protein
262181_at,glycosyl hydrolase family 3 protein
265315_at,ATCLASP/CLASP; binding
262400_at,RTV1 (RELATED TO VERNALIZATION1 1); DNA binding / transcription factor
256362_at,DC1 domain-containing protein
253806_at,zinc finger (C3HC4-type RING finger) family protein
